,rounds,color,imagetype,scene,marker
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-002_c3_ORG.tif,R18,c3,ORG,Her2B-K157-Scene-002,EGFR
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-002_c4_ORG.tif,R18,c4,ORG,Her2B-K157-Scene-002,pAkt
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-002_c5_ORG.tif,R18,c5,ORG,Her2B-K157-Scene-002,GRNZB
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-006_c1_ORG.tif,R18,c1,ORG,Her2B-K157-Scene-006,DAPI
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-006_c2_ORG.tif,R18,c2,ORG,Her2B-K157-Scene-006,CK17
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-006_c3_ORG.tif,R18,c3,ORG,Her2B-K157-Scene-006,EGFR
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-006_c4_ORG.tif,R18,c4,ORG,Her2B-K157-Scene-006,pAkt
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-006_c5_ORG.tif,R18,c5,ORG,Her2B-K157-Scene-006,GRNZB
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-008_c1_ORG.tif,R18,c1,ORG,Her2B-K157-Scene-008,DAPI
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-008_c2_ORG.tif,R18,c2,ORG,Her2B-K157-Scene-008,CK17
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-008_c3_ORG.tif,R18,c3,ORG,Her2B-K157-Scene-008,EGFR
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-008_c4_ORG.tif,R18,c4,ORG,Her2B-K157-Scene-008,pAkt
